epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3166.86,1.21255,1.22208,0.01486,0.6957,0.5471,0.62513,0.38827,1.12916,1.10065,0.01632,0.003333,0.003333,0.070003
2,6264.24,1.27313,1.34082,0.0161,0.67868,0.53153,0.60571,0.3676,1.16938,1.16033,0.01728,0.00633635,0.00633635,0.039673
3,9356.84,1.38511,1.50485,0.01826,0.66225,0.52635,0.5875,0.34116,1.22642,1.1957,0.01862,0.0090097,0.0090097,0.00901304
4,12486.2,1.43635,1.60945,0.01952,0.64554,0.51165,0.572,0.339,1.20453,1.22123,0.01805,0.008515,0.008515,0.008515
5,15586.2,1.42559,1.58132,0.01876,0.64113,0.52154,0.5757,0.34134,1.19542,1.20964,0.01783,0.00802,0.00802,0.00802
6,18667.5,1.41287,1.55182,0.01847,0.64657,0.51841,0.58122,0.35288,1.17014,1.19064,0.01737,0.007525,0.007525,0.007525
7,22048.2,1.40062,1.51883,0.01825,0.65803,0.52834,0.59146,0.35826,1.15659,1.18162,0.01694,0.00703,0.00703,0.00703
8,25155.1,1.38728,1.50202,0.018,0.66375,0.5329,0.59996,0.36924,1.13458,1.15019,0.01656,0.006535,0.006535,0.006535
9,28251.6,1.37312,1.46423,0.01778,0.66843,0.53334,0.60466,0.37368,1.13255,1.13684,0.01652,0.00604,0.00604,0.00604
10,31344.9,1.36185,1.44918,0.0176,0.66698,0.53309,0.60423,0.37743,1.12079,1.1307,0.01629,0.005545,0.005545,0.005545
11,34432.8,1.34119,1.4125,0.01715,0.66309,0.53713,0.60443,0.3767,1.11563,1.13059,0.01619,0.00505,0.00505,0.00505
