epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3255.8,1.50312,3.31249,0.01687,0.44553,0.34371,0.3331,0.17847,1.22895,1.91674,0.01889,0.003333,0.003333,0.070003
2,6418.77,1.54969,2.6262,0.01792,0.52084,0.40062,0.41087,0.21883,1.2641,1.68258,0.01985,0.00658384,0.00658384,0.0399205
3,9561.05,1.6501,2.5283,0.01957,0.53673,0.41343,0.43077,0.22588,1.30649,1.6373,0.02086,0.00975217,0.00975217,0.00975551
4,12702.8,1.68326,2.45974,0.02016,0.56332,0.43916,0.46751,0.25367,1.27704,1.53814,0.02007,0.00962875,0.00962875,0.00962875
5,15843.4,1.66931,2.30522,0.01951,0.5843,0.45293,0.49066,0.27086,1.25801,1.4692,0.01942,0.009505,0.009505,0.009505
6,18959.6,1.64454,2.22855,0.01912,0.59948,0.46204,0.50632,0.28466,1.23253,1.4348,0.01887,0.00938125,0.00938125,0.00938125
7,22089.4,1.635,2.17321,0.01904,0.6032,0.46865,0.51865,0.29603,1.21196,1.39157,0.01852,0.0092575,0.0092575,0.0092575
8,25248.7,1.62011,2.13587,0.01854,0.60757,0.48238,0.5283,0.30476,1.19983,1.36522,0.01817,0.00913375,0.00913375,0.00913375
9,28427.1,1.6004,2.10372,0.01835,0.61185,0.48624,0.53652,0.31185,1.19422,1.3389,0.01806,0.00901,0.00901,0.00901
10,31603.5,1.60069,2.07886,0.01838,0.6115,0.49225,0.54036,0.31849,1.17795,1.32404,0.01762,0.00888625,0.00888625,0.00888625
11,34815,1.5867,2.05124,0.01832,0.61726,0.49529,0.54596,0.3243,1.16996,1.30488,0.01745,0.0087625,0.0087625,0.0087625
12,37905.1,1.57969,2.04014,0.01781,0.62097,0.49545,0.54856,0.32687,1.16415,1.29838,0.01733,0.00863875,0.00863875,0.00863875
13,41005.8,1.56415,2.01482,0.01803,0.61904,0.50312,0.55167,0.32935,1.15979,1.28863,0.01725,0.008515,0.008515,0.008515
14,44109.6,1.57005,1.99768,0.01771,0.61841,0.50552,0.55335,0.33127,1.15568,1.28254,0.01716,0.00839125,0.00839125,0.00839125
15,47212,1.56221,1.97208,0.01762,0.61938,0.50814,0.55655,0.3337,1.15434,1.27356,0.01712,0.0082675,0.0082675,0.0082675
16,50318.6,1.5649,1.97886,0.01768,0.62091,0.5069,0.55754,0.33502,1.15111,1.2703,0.01707,0.00814375,0.00814375,0.00814375
17,53420.1,1.55372,1.95748,0.01777,0.62287,0.50855,0.55909,0.33653,1.14897,1.26674,0.01703,0.00802,0.00802,0.00802
18,56525.8,1.55148,1.96051,0.01744,0.62286,0.50839,0.55828,0.33597,1.1465,1.2667,0.01698,0.00789625,0.00789625,0.00789625
19,59633.3,1.53967,1.92726,0.01755,0.62529,0.50886,0.55931,0.33705,1.14474,1.26327,0.01693,0.0077725,0.0077725,0.0077725
20,62737.8,1.55342,1.94414,0.01756,0.62563,0.50928,0.56011,0.338,1.14285,1.26018,0.0169,0.00764875,0.00764875,0.00764875
21,65846.8,1.53658,1.91845,0.01754,0.62957,0.50912,0.56109,0.33926,1.14088,1.25698,0.01685,0.007525,0.007525,0.007525
22,68953.8,1.53697,1.90894,0.01751,0.62857,0.51097,0.56248,0.34085,1.13926,1.25192,0.01681,0.00740125,0.00740125,0.00740125
23,72063.2,1.53732,1.92414,0.01745,0.63017,0.51094,0.56296,0.34177,1.13768,1.24865,0.01676,0.0072775,0.0072775,0.0072775
24,75175,1.52703,1.8978,0.01712,0.63097,0.51167,0.56384,0.34268,1.13739,1.24383,0.01674,0.00715375,0.00715375,0.00715375
25,78283.3,1.53288,1.89785,0.01706,0.6283,0.51434,0.56496,0.3438,1.13496,1.24205,0.01669,0.00703,0.00703,0.00703
26,81391.4,1.52541,1.87766,0.01713,0.62966,0.51494,0.56655,0.34537,1.13406,1.23845,0.01665,0.00690625,0.00690625,0.00690625
27,84503.5,1.52071,1.88114,0.017,0.63238,0.51296,0.568,0.34715,1.13176,1.23463,0.01659,0.0067825,0.0067825,0.0067825
28,87785.5,1.52038,1.87397,0.01713,0.63667,0.51351,0.57044,0.34912,1.12892,1.23073,0.01654,0.00665875,0.00665875,0.00665875
29,90977.1,1.51842,1.85878,0.01699,0.63733,0.51504,0.5725,0.35119,1.12625,1.22553,0.01648,0.006535,0.006535,0.006535
30,94151.3,1.51882,1.84014,0.01699,0.6394,0.51617,0.57415,0.35289,1.1257,1.22086,0.01646,0.00641125,0.00641125,0.00641125
31,97321.9,1.51341,1.84669,0.01683,0.63934,0.51757,0.57565,0.35456,1.12303,1.21826,0.0164,0.0062875,0.0062875,0.0062875
32,100482,1.50495,1.83001,0.01678,0.64178,0.51822,0.5779,0.35655,1.12137,1.21312,0.01636,0.00616375,0.00616375,0.00616375
33,103628,1.50343,1.84277,0.01691,0.64409,0.51859,0.5795,0.35779,1.11973,1.20846,0.01633,0.00604,0.00604,0.00604
34,106789,1.5003,1.81514,0.01667,0.64594,0.51917,0.58146,0.3593,1.11868,1.20349,0.0163,0.00591625,0.00591625,0.00591625
